PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SmartHomePackage,GamingBundle,InternationalCallingPlan,CloudStoragePlan,customerID
,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,0702-PGIBZ
Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,6656-GULJQ
Yes,No,DSL,No,Yes,No,Yes,No,No,No,No,Yes,Yes,9853-JFZDU
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,No,1963-VAUKV
Yes,No,No,No internet service,No internet service,No internet service,No internet service,YeS,No internet service,No,No,No,No,3777-XROBG
Yes,No,Fiber optic, No  ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,6994-FGRHH
Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,4000-VGMQP
No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,3999-WRNGR
Yes,Yes,Fiber optic,Yes,Yes,no,No,Yes,No,Yes,No,Yes,No, 3466-RITXD  
Yes,No,DSL,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,2680-XKKNJ
Yes,Yes,Fiber optic,No,No,Yes,Yes,no internet service,Yes,Yes,No,Yes,Yes,3058-HJCUY
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,No,Yes,Yes,,2974-GGUXS
Yes,No,DSL,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,7994-XIRTR
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,3259-FDWOY
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,Yes,2101-RANCD
Yes,Yes,DSL,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,7921-BEPCI
Yes,No,DSL,Yes,No,No,Yes,No,No,Yes,No,No,Yes,0807-ZABDG
Yes,Yes,DSL,No,Yes,Yes,No,No,No,No,Yes,No,Yes,8510-TMWYB
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3258-ZKPAI
Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,1428-IEDPR
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,5298-GSTLM
No,No phone service,DSL,NO ,No,Yes,No, Yes  ,Yes,Yes,Yes,No,Yes,UNK-72d9ec0f
Yes,No,DSL,No,No,No,No,Yes,No,No,Yes,No,Yes,6728-CZFEI
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5748-RNCJT
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,3653-NCRDJ
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,6121-TNHBO
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,Yes,Yes,5119-NZPTV
Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6519-ZHPXP
Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,7739-LAXOG
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,3472-QPRCH
No,No phone service,DSL,Yes,Yes,No,No,Yes,No,No,No,No,Yes,8224-UAXBZ
No,No phone service,DSL,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,9610-WCESF
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,No,No,Yes,9776-CLUJA
Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,2486-WYVVE
Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,3865-ZYKAD
Yes,Yes,Fiber optic,No,No,No,Yes,No,,Yes,Yes,No,No,1422-DGUBX
Yes,No,DSL,Yes,Yes,No,Yes,Yes,No, Yes  ,No,Yes,Yes,2999-AANRQ
Yes,No,DSL,Yes,No,Yes,No,No,No,No,Yes,Yes,No,8668-KNZTI
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,0480-KYJVA
No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,6034-ZRYCV
No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,9746-YKGXB
Yes,No,DSL,No,No,No,Yes,No,No,Yes,Yes,Yes,No,3926-YZVVX
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,6000-UKLWI
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,No,2079-FBMZK
Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,6332-FBZRI
Yes,No,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Yes,No,Yes,Yes,2096-XOTMO
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,,No,3266-FTKHB
Yes,No,DSL,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,8221-EQDGL
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,2346-LOCWC
Yes,No,DSL,No,No,Yes,No,No,No,Yes,,No,No,6608-QQLVK
No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0298-XACET
Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,7560-QJAVJ
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes, No  ,2995-YWTCD
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,No,No,No,3551-HUAZH
Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,9137-UIYPG
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,No,Yes,No,No,2809-ZMYOQ
Yes,,DSL,Yes,No,No,Yes,No,No,No,Yes,Yes,No,5084-OOVCJ
Yes,No,DSL,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,0254-WWRKD
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,7727-SHVZV
Yes,Yes,fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,6302-JGYRJ
Yes,, Fiber optic  ,Yes,No,No,No,Yes,No,Yes,No,No,Yes,5339-PXDVH
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,2205-LPVGL
Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,8782-NUUOL
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3685-YLCMQ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,Yes,7601-WFVZV
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,Yes,4609-KNNWG
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4868-AADLV
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Yes,No,No,No,9529-OFXHY
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,8634-MPHTR
,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,2669-QVCRG
No,No phone service,DSL,No,No,No,No,Yes,Yes,Yes,No,No,Yes,2478-EEWWM
Yes,No,Fiber optic,No,No,No,No,No,No,No,Yes,Yes,Yes,9174-IHETN
No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,2233-TXSIU
Yes,No,DSL,Yes,No,No,No,No,No,No,Yes,No,No,9644-UMGQA
No,No phone service,DSL,No, Yes  ,No,No,No,No,Yes,No,Yes,Yes,3256-EZDBI
Yes,No,Fiber optic,No,Yes,No,Yes,Yes,no internet service,Yes,No,Yes,Yes,8761-NSOBC
Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,0419-YAAPX
Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,8413-VONUO
Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,0872-CASZJ
Yes,Yes,Fiber opQic,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,4726-DLWQN
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,8164-OCKUJ
Yes,Yes, Fiber optic  ,No,No,No,No,No,No,Yes, No  ,Yes,Yes,3094-JOJAI
Yes,Yes, Fiber optic  ,No,No,No,No,No,No,No,Yes,Yes,No,9494-MRNYX
Yes,No,DSL,No,No,No,No,No,No,Yes,Yes,No,No,2599-CZABP
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,No,7945-PRBVF
Yes,No,DSL,No,No,No,No,No,No,No,No,No,Yes,4544-RXFMG
Yes,No,No,no internet service,No internet service,No internet service,No internet service,No internet service,,Yes,No,No,No,0859-YGKFW
Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,1150-FTQGN
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9223-UCPVT
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,7196-LIWRH
Yes,Yes,xSL,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,5448-VWNAM
Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,1177-XZBJL
Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,3518-FSTWG
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9330-VOFSZ
Yes,No,DSL,No,No,,No,Yes,No,Yes,Yes,No,No,4351-QLCSU
Yes,No,DSL,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,0939-EREMR
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,Yes,9389-ACWBI
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,5419-JPRRN
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,3644-QXEHN
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2911-IJORQ
Yes,No,Fiber optic,Yes,No,No,No,No,No,No,Yes,No,No,5921-NGYRH
Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,2100-BDNSN
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,5998-DZLYR
Yes,No,Fiber optic,,No,No,No,No,No,Yes,No,Yes,No,0488-GSLFR
Yes,No,No,No internet service,No internet service,No internet service,yes,No internet service,No internet service,No,Yes,Yes,No,9318-NKNFC
Yes,No,No,No internet service,No internet service,No internet service,No internet service, No internet service  ,No internet service,Yes,Yes,Yes,Yes,3985-HOYPM
Yes,No,Fiber optic,No,No,No,No,No,No,No,Yes,No,No,9728-FTTVZ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,9548-LERKT
No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,,Yes,Yes,No,6576-FBXOJ
No,No phone service,DSL,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,Yes,7254-IQWOZ
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2474-BRUCM
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,No, Yes  ,Yes,4062-HBMOS
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,0742-NXBGR
NO ,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,Yes,2676-ISHSF
No,No phone service,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Yes,9236-NDUCW
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,4753-PADAS
Yes,No,DSL,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,6103-QCKFX
No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7781-EWARA
 Yes  ,No,Fiber optic,No,No,No,No,Yes,No,No,Yes,No,No,6110-OHIHY
Yes,No,DSL,Yes,Yes,Yes,No,No,No,Yes,No, NO  ,Yes,7018-FPXHH
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,5889-LFOLL
Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,5708-EVONK
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,UNK-43eb237c
No,No phone service,DSL,No,No,No,No,No,No,Yes,No,Yes,No,0616-ATFGB
Yes,Yes,Fiber optic,Yes,No, Yes  ,Yes,No,Yes,Yes,Yes,Yes,Yes,0572-ZJKLT
Yes,No,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,No,
Yes,No,DSL,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1353-LJWEM
Yes,Yes,DSL,No,No,Yes,Yes,No,No,Yes,No,Yes,No,1794-SWWKL
No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,6166-YIPFO
No,No phone service, DSL  ,No,No,No,No,No,No,Yes,Yes,No,No,7016-BPGEU
Yes,No,DSL,No,No,Yes,No,No,No, Yes  ,No,Yes,No,6876-ADESB
Yes,No,DSL,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,9332-GYWLO
Yes,No,DSL,No,No,No,No,No,No,Yes,No,No,No,1963-SVUCV
Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,4184-VODJZ
Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,No,No,Yes,0220-EBGCE
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,yes,Yes,Yes,Yes, 1092-WPIVQ  
No,No phone service,DSL,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,7233-IOQNP
No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,ORPH-fbf1c704
Yes,Yes,,No,No,No,No,Yes,Yes,Yes,No,Yes,No,ORPH-20be8be7
,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,2400-FEQME
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,3190-XFANI
Yes,No,DSL,No,Yes,Yes,,No,No,No,Yes,No,Yes,7551-DACSP
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,4957-SREEC
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,Yes,Yes,7235-NXZCP
No,No phone service,DSL,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,0230-UBYPQ
Yes,No,DSL,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,4923-ADWXJ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No, Yes  ,1763-KUAAW
Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,ORPH-7fc348b4
Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,5195-KPUNQ
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,No,No,No,No,0520-FDVVT
No,No phone service,DSL,No,No,No,No,No,No,No,Yes,No,No,3439-GVUSX
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1444-VVSGW
Yes,No,Fiber optic,No,No,Yes,Yes,No,No,No,No,No,Yes,5712-PTIWW
Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,5949-HGVJL
Yes,No,DSL,Yes,Yes,No,No,No,Yes,,No,No,Yes,5203-XEHAX
Yes,No,No,No internet service, No internet service  ,No internet service,No internet service,No internet service,No internet service,No,No,No,No,1635-HDGFT
Yes,Yes,Fiber optic,No,No,No,No,No,No,No,No,No,Yes,3315-TOTBP
Yes,No,DSL,Yes,No,Yes,No,No,No,No,No,No,No,8050-XGRVL
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yeu,Yes,Yes,Yes,Yes,Yes,6661-HBGWL
Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,1518-VOWAV
Yes,No,DSL,Yes,No,No,No,No, No  ,No,No,No,No,9828-QHFBK
No,No phone service,DSL,Yes,Yes,Yes,No,No,No,No,Yes,No,No,3908-MKIMJ
Yes,No,DSL,No,,Yes,Yes,To internet service,No,Yes,Yes,No,No,5012-YSPJJ
Yes,No,DSL,No,No,No,No,No,Yes,Yes,,Yes,Yes,5909-ECHUI
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1309-BXVOQ
Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,6728-VOIFY
Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,9317-WZPGV
No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,4891-NLUBA
Yes,No,Fiber optic,No,No, No  ,No,No,No,Yes,No,No,Yes,2856-HYAPG
Yes,No,No, No internet service  ,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,8969-PRHFK
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,Yes,0661-KQHNK
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,8709-KRDVL
Yes,No, No  ,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Yes,No,Yes,4488-PSYCG
Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,YES ,1427-VERSM
Yes,No,No,No internet service,YeA,No internet service,No internet service,No internet service,No internet service,No,No,No,Yes,9801-NOSHQ
Yes,No,Fiber optic,No,No,Yes,No,No, No  ,Yes,Yes,No,Yes,6339-YPSAH
Yes, Yes  ,Fiber optic,No,Yes,No,No,Yes, Yes  ,No,Yes,Yes,No,3621-CEOVK
Yes,Yes,Fiber optic,No,No,,No,No,No,Yes,Yes,Yes,Yes,6906-ANDWJ
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,2159-TURXX
 Yes  ,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,1548-FEHVL
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3795-CAWEX
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,6215-NQCPY
Yes,No,No, No internet service  ,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,No,Yes,5647-URDKA
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,No,2229-DPMBI
,No phone service,DSL,,No,No,No,No,No,Yes,Yes,No,No,9626-WEQRM
Yes, No  ,DSL,Yes, Yes  ,No,No,No,No,Yes,Yes,Yes,Yes,2188-SXWVT
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6258-PVZWJ
No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,1094-BKOSX
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,6969-MVBAI
Yes,Yes,DSL,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,2978-XXSOG
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,No,No,ORPH-0489b7f6
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,6953-PBDIN
Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3898-BSJYF
Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,No,,No,No,3938-YFPXD
Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,7696-AMHOD
Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,2453-SAFNS
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,9558-IHEZX
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,9617-UDPEU
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,6340-DACFT
Yes,No,No,No internet service, No internet service  ,No internet service,No internet service,No internet service,No internet service,Yes,Yes,Yes,No, 4955-VCWBI  
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,6813-GZQCG
Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,7426-GSWPO
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,3389-KTRXV
Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,3118-UHVVQ
Yes,No, Fiber optic  ,No,No,No,No,No,No,No, Yes  ,No,No,1031-IIDEO
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,No,Yes,5832-XKAES
Yes,No,DSL,No,No,No,Yes,Yes,,Yes,Yes,Yes,Yes,3205-MXZRA
No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,4701-AHWMW
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,8317-BVKSO
Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,5702-KVQRD
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,
Yes,No,DSL,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,UNK-aa875c28
Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,6169-PGNCD
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,0023-XUOPT
No,No phone service,DSL,Yes,No,No,No,No,No,Yes,Yes,Yes,No,4592-IWTJI
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes, 4909-JOUPP  
Yes,Yes,Fiber optic,No,,Yes,No,Yes,No,No,Yes,Yes,Yes,4657-FWVFY
Yes,Yes,DSL,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,2257-BOVXD
Yes,No,DSL,No,No,No,No,No,No,No,Yes,No,No,7729-JTEEC
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7632-MNYOY
Yes,Yes,Fiber optic,No,No,,Yes, Yes  ,YES ,Yes,No,No,Yes,6518-LGAOV
No,No phone service,DSL,No,No,No,No,No,No,Yes,Yes,No,Yes,7242-QZLXF
Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,ORPH-8ea623dd
Yes,No,FIBER OPTIC ,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,Yes,1000-AJSLD
 Yes  ,No,,No,No,No,No,,No,Yes,Yes,Yes,No,9696-RMYBA
Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,8690-UPCZI
Yes,No,Fiber optic,No,No,No,No,No,No,Yes,No,No,No,1062-LHZOD
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,9770-LXDBK
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,4086-WITJG
Yes,No,DSL,No,Yes,No, No  ,No,No,Yes,Yes,No,Yes,8344-WFMFH
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,9600-NAXZN
Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,8822-KNBHV
Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,8404-FYDIB
Yes,No,No, No internet service  ,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,2791-SFVEW
Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,6457-USBER
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Yes,Yes,No,6762-NSODU
Yes,Yes,DSL,No,No,No,No,No,Yes,No,Yes,No,No,ORPH-7c6e70e2
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,No,No,Yes,9248-OJYKK
No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,9888-ZCUMM
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,No,No,Yes,3398-FSHON
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,3319-DWOEP
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,No,Yes,No,1074-WVEVG
Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes, Yes  ,Yes,No,Yes,9979-RGMZT
Yes,Yes,DSL,Yes, Yes  ,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,6437-UDQJM
Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,No,No,Yes,1226-IENZN
Yes,Yes,DSL,No,No,Yes,No,No,No,No,Yes,Yes,Yes,2108-GLPQB
Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,9259-PACGQ
Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Yes,No,Yes,4415-IJZTP
Yes,Yes,Fiber optic,NO ,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,1465-VINDH
Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,No,No,5474-LAMUQ
Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,, No  ,Yes,3468-DRVQJ
Yes,No,DSL,Yes,Yes,No,YES ,No,No,Yes,Yes,Yes,Yes,1122-YJBCS
Yes,No,No,No internet service,, No internet service  ,No internet service,No internet service,No internet service,Yes,No,No,Yes,4990-ALDGW
Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,4816-OKWNX
No,No phone service,DSL,Yes,No,Yes,no internet service,Yes,No,Yes,Yes,No,Yes,3315-IKYZQ
Yes,No,DSL,Yes,No,No,No,No,No,Yes,No,Yes,No,2810-FTLEM
Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,4747-LCAQL
Yes,No,Fiber optic,No,Yes,No,,No,No,No,Yes,No,Yes,3411-WLRSQ
